match_number,date,home_team,away_team,stadium,result,season,time,home_result,away_result,winner,home_sets_won,away_sets_won,number_of_sets,home_game_won,away_game_won,home_sets_lost,away_sets_lost
137711,29-11-23,Gentofte Volley.2,VLI,Byens Hus                ,2 - 3,2023-2024,18:45,2,3,VLI,2,3,5,0,1,3,2
137734,02-12-23,Farum-Holte,Team Køge,Ny Holtehal                ,3 - 2,2023-2024,14:00,3,2,Farum-Holte,3,2,5,1,0,2,3
137735,02-12-23,DTU Volley,RS Rødovre,Engelsborghallen                ,3 - 1,2023-2024,14:30,3,1,DTU Volley,3,1,4,1,0,1,3
137732,03-12-23,VLI,Frederiksberg Volley,Kedelhallen                ,3 - 1,2023-2024,13:30,3,1,VLI,3,1,4,1,0,1,3
137731,06-12-23,Gentofte Volley.2,Amager VK.2,Byens Hus                ,3 - 0,2023-2024,19:00,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
137740,09-12-23,Team Køge,DTU Volley,Spar Nord Arena                ,0 - 3,2023-2024,15:30,0,3,DTU Volley,0,3,3,0,1,3,0
137739,09-12-23,Hvidovre VK,Farum-Holte,Frihedens Idrætscenter                ,3 - 2,2023-2024,16:00,3,2,Hvidovre VK,3,2,5,1,0,2,3
137737,10-12-23,Amager VK.2,VLI,Sundbyhal 2                ,3 - 1,2023-2024,12:00,3,1,Amager VK.2,3,1,4,1,0,1,3
137738,10-12-23,Frederiksberg Volley,Grøndal EV,Kedelhallen                ,2 - 3,2023-2024,13:30,2,3,Grøndal EV,2,3,5,0,1,3,2
137741,13-01-24,DTU Volley,Gentofte Volley.2,Engelsborghallen                ,3 - 2,2023-2024,14:30,3,2,DTU Volley,3,2,5,1,0,2,3
137743,13-01-24,Hvidovre VK,RS Rødovre,Frihedens Idrætscenter                ,3 - 0,2023-2024,16:00,3,0,Hvidovre VK,3,0,3,1,0,0,3
137744,14-01-24,Frederiksberg Volley,Team Køge,Bülowsvejhallen                ,3 - 0,2023-2024,14:00,3,0,Frederiksberg Volley,3,0,3,1,0,0,3
137742,14-01-24,Grøndal EV,VLI,Hillerødgades Sportssal                ,2 - 3,2023-2024,14:00,2,3,VLI,2,3,5,0,1,3,2
137745,14-01-24,Farum-Holte,Amager VK.2,Ny Holtehal                ,2 - 3,2023-2024,16:00,2,3,Amager VK.2,2,3,5,0,1,3,2
137784,16-01-24,Farum-Holte,Hvidovre VK,Ny Holtehal                ,1 - 3,2023-2024,20:30,1,3,Hvidovre VK,1,3,4,0,1,3,1
137749,20-01-24,Amager VK.2,DTU Volley,Sundbyhal                 ,3 - 0,2023-2024,14:00,3,0,Amager VK.2,3,0,3,1,0,0,3
137750,21-01-24,Hvidovre VK,Frederiksberg Volley,Frihedens Idrætscenter                ,3 - 0,2023-2024,12:00,3,0,Hvidovre VK,3,0,3,1,0,0,3
137746,21-01-24,Gentofte Volley.2,Grøndal EV,Kildeskovshal                 ,3 - 0,2023-2024,12:00,3,0,Gentofte Volley.2,3,0,3,1,0,0,3
137747,21-01-24,VLI,Farum-Holte,Kedelhallen                ,3 - 0,2023-2024,13:30,3,0,VLI,3,0,3,1,0,0,3
137736,24-01-24,RS Rødovre,Gentofte Volley.2,Rødovrehallen                4 - Hal 2 (LB),0 - 3,2023-2024,19:00,0,3,Gentofte Volley.2,0,3,3,0,1,3,0
137748,25-01-24,RS Rødovre,Team Køge,Rødovrehallen                4 - Hal 2 (LB),1 - 3,2023-2024,19:30,1,3,Team Køge,1,3,4,0,1,3,1
137753,27-01-24,Amager VK.2,Grøndal EV,Sundbyhal                 ,3 - 0,2023-2024,14:00,3,0,Amager VK.2,3,0,3,1,0,0,3
137755,27-01-24,DTU Volley,Frederiksberg Volley,Engelsborghallen                ,3 - 1,2023-2024,14:30,3,1,DTU Volley,3,1,4,1,0,1,3
137754,27-01-24,Team Køge,Hvidovre VK,Spar Nord Arena                ,0 - 3,2023-2024,15:30,0,3,Hvidovre VK,0,3,3,0,1,3,0
137752,28-01-24,RS Rødovre,VLI,Rødovrehallen                7 - Hal 3 (LB),1 - 3,2023-2024,15:30,1,3,VLI,1,3,4,0,1,3,1
137751,28-01-24,Farum-Holte,Gentofte Volley.2,Ny Holtehal                ,3 - 0,2023-2024,18:00,3,0,Farum-Holte,3,0,3,1,0,0,3
